exchange;quoteType;value;short_name;long_name;isin;sector;div_yield
PAR;EQUITY;ORA.PA;ORANGE;Orange;FR0000133308;Communication Services;0.07
PAR;EQUITY;TTE.PA;TOTALENERGIES;TotalEnergies;FR0000120271;Energy;0.0511
AMS;EQUITY;ASML.AS;ASML HOLDING;ASML;NL0010273215;Technology;0.0162
NMS;EQUITY;NVDA;NVIDIA Corporation;NVIDIA;US67066G1040;Technology;0.00059999997
NYQ;EQUITY;JNJ;Johnson & Johnson;Johnson & Johnson;US4781601046;Healthcare;0.0292
GER;EQUITY;MRK.DE;MERCK KGAA O.N.;Merck;DE0006599905;Healthcare;0.013300001
NYQ;EQUITY;PFE;Pfizer, Inc.;Pfizer;US7170811035;Healthcare;0.042
PAR;EQUITY;SAN.PA;SANOFI;Sanofi;FR0000120578;Healthcare;0.0356
EBS;EQUITY;GEBN.SW;GEBERIT N;Geberit;CH0030170408;Industrials;0.024500001
EBS;EQUITY;GIVN.SW;GIVAUDAN N;Givaudan;CH0010645932;Basic Materials;0.0211
EBS;EQUITY;SIKA.SW;SIKA N;Sika;CH0418792922;Basic Materials;0.013200001
EBS;EQUITY;SREN.SW;SWISS RE N;Swiss Re;CH0126881561;Financial Services;0.0648
EBS;EQUITY;ZURN.SW;ZURICH INSURANCE N;Zurich Insurance;CH0011075394;Financial Services;0.0559
EBS;EQUITY;CFR.SW;RICHEMONT N;Richemont;CH0210483332;Consumer Cyclical;0.0152
EBS;EQUITY;NESN.SW;NESTLE N;Nestle;CH0038863350;Consumer Defensive;0.025799999
EBS;EQUITY;NOVN.SW;NOVARTIS N;Novartis;CH0012005267;Healthcare;0.0344
EBS;EQUITY;ROG.SW;ROCHE GS;Roche;CH0012032048;Healthcare;0.0339
GER;EQUITY;SIE.DE;SIEMENS AG;Siemens;DE0007236101;Industrials;0.028800001
AMS;EQUITY;INGA.AS;ING GROEP N.V.;ING;NL0011821202;Financial Services;0.048600003
PAR;EQUITY;CS.PA;AXA;AXA;FR0000120628;Financial Services;0.0581
EBS;EQUITY;HELN.SW;HELVETIA HOLDING N;Helvetia;CH0466642201;Financial Services;0.0465
EBS;EQUITY;SLHN.SW;SWISS LIFE HOLDING AG N;Swiss Life;CH0014852781;Financial Services;0.0547
PAR;EQUITY;OR.PA;L'OREAL;L'Oreal;FR0000120321;Consumer Defensive;0.0139
PAR;EQUITY;MC.PA;LVMH;LVMH;FR0000121014;Consumer Cyclical;0.0137
NMS;EQUITY;MSFT;Microsoft Corporation;Microsoft;US5949181045;Technology;0.0089
NYQ;EQUITY;CVX;Chevron Corporation;Chevron;US1667641005;Energy;0.0377
EBS;EQUITY;LONN.SW;LONZA N;Lonza;CH0013841017;Healthcare;0.006
EBS;EQUITY;PGHN.SW;PARTNERS GROUP N;Partners Group;CH0024608827;Financial Services;0.043
EBS;EQUITY;UBSG.SW;UBS GROUP N;UBS;CH0244767585;Financial Services;0.0275
EBS;EQUITY;EMSN.SW;EMS-CHEMIE N;EMS-Chemie;CH0016440353;Basic Materials;0.0199
EBS;EQUITY;SGSN.SW;SGS N;SGS;CH1256740924;Industrials;0.0397
EBS;EQUITY;LOGN.SW;LOGITECH N;Logitech;CH0025751329;Technology;0.0183
EBS;EQUITY;SCMN.SW;SWISSCOM N;Swisscom;CH0008742519;Communication Services;0.0363
LSE;EQUITY;AAL.L;ANGLO AMERICAN PLC ORD USD0.549;Anglo American;GB00B1XZS820;Basic Materials;0.0683
NMS;EQUITY;META;Meta Platforms, Inc.;Meta Platforms;US30303M1027;Communication Services;0.0
PAR;EQUITY;BNP.PA;BNP PARIBAS ACT.A;BNP Paribas;FR0000131104;Financial Services;0.067600004
PAR;EQUITY;STMPA.PA;STMICROELECTRONICS;STMicroelectronics;NL0000226223;Technology;0.0057
GER;EQUITY;FRE.DE;FRESENIUS SE&CO KGAA;Fresenius;DE0005785604;Healthcare;0.036
GER;EQUITY;ZAL.DE;ZALANDO SE;Zalando;DE000ZAL1111;Consumer Cyclical;0.0
PAR;EQUITY;GLE.PA;SOCIETE GENERALE;Societe Generale;FR0000130809;Financial Services;0.0762
GER;EQUITY;MBG.DE;MERCEDES-BENZ GROUP;Mercedes-Benz;DE0007100000;Consumer Cyclical;0.078
PAR;EQUITY;RMS.PA;HERMES INTL;Hermes;FR0000052292;Consumer Cyclical;0.0064999997
NMS;EQUITY;AMZN;Amazon.com, Inc.;Amazon.com;US0231351067;Consumer Cyclical;0.0
PAR;EQUITY;ACA.PA;CREDIT AGRICOLE;Crédit Agricole;FR0000045072;Financial Services;0.0971
PAR;EQUITY;LI.PA;KLEPIERRE;Klepierre;FR0000121964;Real Estate;0.0793
NYQ;EQUITY;KO;Coca-Cola Company (The);Coca-Cola;US1912161007;Consumer Defensive;0.028900001
PAR;EQUITY;DSY.PA;DASSAULT SYSTEMES;Dassault Systemes;FR0014003TT8;Technology;0.0056
NYQ;EQUITY;EL;Estee Lauder Companies. (T;Estee Lauder;US5184391044;Consumer Defensive;0.012999999
NYQ;EQUITY;NKE;Nike, Inc.;Nike;US6541061031;Consumer Cyclical;0.0107
GER;EQUITY;VOW3.DE;VOLKSWAGEN AG;Volkswagen;DE0007664039;Consumer Cyclical;0.0689
NYQ;EQUITY;SPOT;Spotify Technology S.A.;Spotify;LU1778762911;Communication Services;0.0
NMS;EQUITY;AAPL;Apple Inc.;Apple;US0378331005;Technology;0.0055
NMS;EQUITY;GOOG;Alphabet Inc.;Alphabet Class C;US02079K1079;Communication Services;0.0
LSE;EQUITY;BP.L;BP PLC $0.25;BP;GB0007980591;Energy;0.0378
MIL;EQUITY;UCG.MI;UNICREDIT;UniCredit;IT0005239360;Financial Services;0.0521
PAR;EQUITY;ML.PA;MICHELIN;Michelin;FR0000121261;Consumer Cyclical;0.0
PAR;EQUITY;KER.PA;KERING;Kering;FR0000121485;Consumer Cyclical;0.0249
NMS;EQUITY;AMD;Advanced Micro Devices, Inc.;AMD;US0079031078;Technology;0.0
